movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,imdb_score
The Fountain ,Darren Aronofsky,35000000,PG-13,96,Hugh Jackman,Ellen Burstyn,Mark Margolis,10139254,Drama|Sci-Fi,eternity|love|mayan|tree|tree of life,7.3
The Fourth Kind ,Olatunde Osunsanmi,10000000,PG-13,98,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,25464480,Mystery|Sci-Fi|Thriller,abduction|alaska|alien|owl|patient,5.9
The Fugitive ,Andrew Davis,44000000,PG-13,130,Harrison Ford,Daniel Roebuck,Sela Ward,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,hospital|on the run|one armed man|surgeon|u.s. marshal,7.8
The Glass House ,Daniel Sackheim,30000000,PG-13,106,Chris Noth,Bruce Dern,Trevor Morgan,17951431,Crime|Drama|Mystery|Thriller,car|car accident|death|friend|glass,5.8
The Golden Child ,Michael Ritchie,25000000,PG-13,94,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,79817937,Action|Adventure|Comedy|Fantasy|Mystery,boy|child|chosen one|demon|detective,5.9
The Golden Compass ,Chris Weitz,180000000,PG-13,113,Christopher Lee,Eva Green,Kristin Scott Thomas,70083519,Adventure|Family|Fantasy,children|epic|friend|girl|quest,6.1
The Grace Card ,David G. Evans,200000,PG-13,101,Michael Joiner,Chris Thomas,Michael Higgenbottom,2428241,Drama,christian film|forgiveness|hospital|pastor|police,6.4
The Great Debaters ,Denzel Washington,15000000,PG-13,126,Denzel Washington,Jurnee Smollett-Bell,John Heard,30226144,Biography|Drama,college|debate|student|texas|wiley college,7.6
The Greatest Movie Ever Sold ,Morgan Spurlock,1500000,PG-13,90,Quentin Tarantino,J.J. Abrams,Donald Trump,638476,Comedy|Documentary,advertising|movie in title|product placement,6.6
The Green Hornet ,Michel Gondry,120000000,PG-13,119,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,98780042,Action|Comedy|Crime|Sci-Fi|Thriller,heir|kung fu|party|playboy|superhero,5.8
The Grudge 2 ,Takashi Shimizu,20000000,PG-13,137,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,39143839,Horror|Thriller,curse|ghost|haunted house|high school|schoolgirl,5
The Grudge ,Takashi Shimizu,10000000,PG-13,98,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,110175871,Horror|Mystery|Thriller,american|curse|japan|nurse|rage,5.9
The Guilt Trip ,Anne Fletcher,40000000,PG-13,95,Miriam Margolyes,Tom Virtue,Julene Renee,37101011,Comedy|Drama,cross country|love|mother son relationship|on the road|trip,5.8
The Haunting of Molly Hartley ,Mickey Liddell,5000000,PG-13,82,Jessica Lowndes,Randy Wayne,Haley Bennett,13350177,Drama|Horror|Thriller,18th birthday|birthday|community center|resurrection|teenager,3.8
The Haunting ,Jan de Bont,80000000,PG-13,113,Liam Neeson,Lili Taylor,Virginia Madsen,91188905,Fantasy|Horror|Mystery|Thriller,greenhouse|haunted house|horror movie remake|mansion|old house,4.9
The Help ,Tate Taylor,25000000,PG-13,146,Emma Stone,Bryce Dallas Howard,Mike Vogel,169705587,Drama,black servant|chocolate pie|jackson mississippi|maid|writing a novel,8.1
The Hobbit: An Unexpected Journey ,Peter Jackson,180000000,PG-13,182,Aidan Turner,Adam Brown,James Nesbitt,303001229,Adventure|Fantasy,dragon|dwarf|hobbit|orc|wizard,7.9
The Hobbit: The Desolation of Smaug ,Peter Jackson,225000000,PG-13,186,Aidan Turner,Adam Brown,James Nesbitt,258355354,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,7.9
The Holiday ,Nancy Meyers,85000000,PG-13,138,Kate Winslet,Rufus Sewell,Sarah Parish,63224849,Comedy|Romance,book|composer|house|love|self esteem,6.9
The Horse Whisperer ,Robert Redford,60000000,PG-13,170,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,75370763,Drama|Romance|Western,grace|groom|horse|montana|western u.s.,6.5
The Host ,Andrew Niccol,40000000,PG-13,125,J.D. Evermore,Chandler Canterbury,Rachel Roberts,26616999,Action|Adventure|Romance|Sci-Fi|Thriller,alien|alien creature|body snatching|desert|parasite,5.9
The Hours ,Stephen Daldry,25000000,PG-13,114,Meryl Streep,Stephen Dillane,Miranda Richardson,41597830,Drama|Romance,housewife|lesbian|novel|party|reading,7.6
The House Bunny ,Fred Wolf,25000000,PG-13,97,Emma Stone,Katharine McPhee,Beverly D'Angelo,48237389,Comedy|Romance,makeover|party|playboy|playboy mansion|sorority,5.5
The Hunger Games: Catching Fire ,Francis Lawrence,130000000,PG-13,146,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,424645577,Adventure|Sci-Fi|Thriller,president|snow|television|tour|uprising,7.6
The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,125000000,PG-13,123,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,337103873,Adventure|Sci-Fi|Thriller,based on young adult novel|manipulation|rebellion|symbol|uprising,6.7
The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,160000000,PG-13,137,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,281666058,Adventure|Sci-Fi,death of sister|dystopia|execution|rebellion|revolution,6.6
The Hunger Games ,Gary Ross,78000000,PG-13,142,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,407999255,Adventure|Drama|Sci-Fi|Thriller,fight to the death|game|massacre|self survival|suicide attempt,7.3
The Huntsman: Winter's War ,Cedric Nicolas-Troyan,115000000,PG-13,120,Chris Hemsworth,Sam Claflin,Charlize Theron,47952020,Action|Adventure|Drama|Fantasy,based on fairy tale|dark fantasy|fairy tale|second part|sequel,6.1
The Illusionist ,Neil Burger,16000000,PG-13,110,Rufus Sewell,Eddie Marsan,Jake Wood,39825798,Drama|Mystery|Romance|Thriller,duchess|illusionist|magician|prince|supernatural power,7.6
The In Crowd ,Mary Lambert,15000000,PG-13,105,Matthew Settle,Susan Ward,A.J. Buckley,5217498,Drama|Mystery|Thriller,clique|country club|female protagonist|lip gloss|title directed by female,4.6
The Incredible Burt Wonderstone ,Don Scardino,30000000,PG-13,100,Steve Buscemi,Olivia Wilde,Steve Carell,22525921,Comedy,magic|magic kit|magician|stage magician|vegas,5.9
The Incredible Hulk ,Louis Leterrier,150000000,PG-13,135,Ty Burrell,Peter Mensah,William Hurt,134518390,Action|Adventure|Sci-Fi,antidote|cure|hulk|marvel cinematic universe|opening action scene,6.8
The Intern ,Nancy Meyers,35000000,PG-13,121,Robert De Niro,Anne Hathaway,Rene Russo,75274748,Comedy|Drama,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,7.2
The Internship ,Shawn Levy,58000000,PG-13,125,Josh Gad,Jessica Szohr,Rob Riggle,44665963,Comedy,actor's picture shown in credits|animated credits|google|internship|still images in end credits,6.3
The Invasion ,Oliver Hirschbiegel,80000000,PG-13,99,Roger Rees,Veronica Cartwright,Jeremy Northam,15071514,Sci-Fi|Thriller,alien|epidemic|psychiatrist|space shuttle|virus,5.9
The Invention of Lying ,Ricky Gervais,18500000,PG-13,100,Jennifer Garner,Tina Fey,Martin Starr,18439082,Comedy|Fantasy|Romance,genetics|heaven|lie|screenwriter|truth,6.4
The Island of Dr. Moreau ,John Frankenheimer,40000000,PG-13,99,Marlon Brando,Temuera Morrison,Marco Hofschneider,27663982,Horror|Sci-Fi|Thriller,animal experimentation|chimera|island|jungle|mutant,4.4
The Island ,Michael Bay,126000000,PG-13,136,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,clone|environment|escape|island|lottery,6.9
The Italian Job ,F. Gary Gray,60000000,PG-13,111,Jason Statham,Charlize Theron,Jimmy Shubert,106126012,Action|Crime|Thriller,gold|heist|revenge|traffic jam|venice italy,7
The Last Dragon ,Michael Schultz,10000000,PG-13,109,Mike Starr,Vanity,Keshia Knight Pulliam,33000000,Action|Comedy|Drama|Music,cult film|kung fu|kung fu classic|martial arts|title spoken by character,6.9
The Last Sin Eater ,Michael Landon Jr.,2200000,PG-13,117,Henry Thomas,Louise Fletcher,A.J. Buckley,379643,Drama,1850s|christian film|dark secret|funeral|sin eater,5.9
The Last Witch Hunter ,Breck Eisner,90000000,PG-13,106,Vin Diesel,Joseph Gilgun,Lotte Verbeek,27356090,Action|Adventure|Fantasy,box office flop|burned to death|magic|witch|witch hunter,6
The Lazarus Effect ,David Gelb,3300000,PG-13,83,Olivia Wilde,Mark Duplass,Donald Glover,25799043,Horror|Sci-Fi|Thriller,electrocuted|experiment|hell|serum|university,5.2
The League of Extraordinary Gentlemen ,Stephen Norrington,78000000,PG-13,110,Jason Flemyng,Max Ryan,Tony Curran,66462600,Action|Adventure|Fantasy|Sci-Fi,box office flop|captain nemo|dorian gray|invisible man|steampunk,5.8
The Legend of Bagger Vance ,Robert Redford,60000000,PG-13,126,Matt Damon,Will Smith,Charlize Theron,30695227,Drama|Fantasy|Sport,caddy|game|golf|golf course|golfer,6.7
The Legend of Hercules ,Renny Harlin,70000000,PG-13,99,Roxanne McKee,Luke Newberry,Gaia Weiss,18821279,Action|Adventure|Fantasy,ancient greece|forbidden love|hercules|king|slavery,4.2
The Legend of Tarzan ,David Yates,180000000,PG-13,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,6.6
The Living Wake ,Sol Tryon,500000,PG-13,91,Jim Gaffigan,Ann Dowd,Matthew Cowles,12055,Comedy,artist|black comedy,6.5
The Lone Ranger ,Gore Verbinski,215000000,PG-13,150,Johnny Depp,Ruth Wilson,Tom Wilkinson,89289910,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,6.5
The Longest Ride ,George Tillman Jr.,34000000,PG-13,128,Tiago Riani,Melissa Benoist,Hayley Lovitt,37432299,Drama|Romance,1940s|art collector|bull riding|north carolina|student,7.1
The Longest Yard ,Peter Segal,82000000,PG-13,113,Adam Sandler,Steve Reevis,Dalip Singh,158115031,Comedy|Crime|Sport,coach|convict|football|prison|warden,6.4
The Lord of the Rings: The Return of the King ,Peter Jackson,94000000,PG-13,192,Orlando Bloom,Billy Boyd,Bernard Hill,377019252,Action|Adventure|Drama|Fantasy,battle|epic|king|orc|ring,8.9
The Lord of the Rings: The Two Towers ,Peter Jackson,94000000,PG-13,172,Christopher Lee,Orlando Bloom,Billy Boyd,340478898,Action|Adventure|Drama|Fantasy,epic|evil wizard|middle earth|ring|wizard,8.7
The Losers ,Sylvain White,25000000,PG-13,97,Chris Evans,Jason Patric,Óscar Jaenada,23527955,Action|Crime|Drama|Mystery|Thriller,hacking|hijacking|martial arts|revenge|special forces,6.4
The Lost World: Jurassic Park ,Steven Spielberg,73000000,PG-13,129,Ariana Richards,Richard Schiff,Vanessa Lee Chester,229074524,Action|Adventure|Sci-Fi,capture|dinosaur|island|jurassic|jurassic park,6.5
The Love Guru ,Marco Schnabel,62000000,PG-13,87,Justin Timberlake,Romany Malco,Verne Troyer,32178777,Comedy|Romance|Sport,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,3.8
The Lovely Bones ,Peter Jackson,65000000,PG-13,135,Michael Imperioli,AJ Michalka,Tom McCarthy,43982842,Drama|Fantasy|Thriller,1970s|afterlife|heaven|pedophile|rape,6.7
The Lovely Bones ,Peter Jackson,65000000,PG-13,135,Michael Imperioli,AJ Michalka,Tom McCarthy,43982842,Drama|Fantasy|Thriller,1970s|afterlife|heaven|pedophile|rape,6.7
The Lucky One ,Scott Hicks,25000000,PG-13,101,Blythe Danner,Riley Thomas Stewart,Jay R. Ferguson,60443237,Drama|Romance,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,6.5
The Man from U.N.C.L.E. ,Guy Ritchie,75000000,PG-13,116,Henry Cavill,Elizabeth Debicki,Christian Berkel,45434443,Action|Adventure|Comedy,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,7.3
The Man in the Iron Mask ,Randall Wallace,35000000,PG-13,132,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,56876365,Action|Adventure,france|musketeer|three musketeers|twin|twin brother,6.4
The Marine ,John Bonito,20000000,PG-13,92,Kelly Carlson,Firass Dirani,Drew Powell,18843314,Action|Drama|Thriller,beating|marine|muscleman|tied up|tough guy,4.7
The Martian ,Ridley Scott,108000000,PG-13,151,Matt Damon,Donald Glover,Benedict Wong,228430993,Adventure|Drama|Sci-Fi,astronaut|international cooperation|left for dead|nasa|space habitat,8.1
The Mask of Zorro ,Martin Campbell,65000000,PG-13,136,Anthony Hopkins,Tony Amendola,Stuart Wilson,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,19th century|california|revenge|training|zorro,6.7
The Mask ,Chuck Russell,18000000,PG-13,114,Peter Greene,Amy Yasbeck,Reg E. Cathey,119938730,Action|Comedy|Crime|Fantasy,bank|bank clerk|gangster|loki|mask,6.9
The Maze Runner ,Wes Ball,34000000,PG-13,113,Ki Hong Lee,Aml Ameen,Jacob Latimore,102413606,Action|Mystery|Sci-Fi|Thriller,based on novel|concrete wall|maze|open ended|teenage boy,6.8
The Mirror Has Two Faces ,Barbra Streisand,42000000,PG-13,122,Jeff Bridges,Austin Pendleton,Mimi Rogers,41252428,Comedy|Drama|Romance,columbia university|lecture|marriage|professor|sex,6.5
The Monuments Men ,George Clooney,70000000,PG-13,118,Bill Murray,Matt Damon,Bob Balaban,78031620,Drama|War,art|art expert|nazi stolen art|soldier|world war two,6.1
The Mortal Instruments: City of Bones ,Harald Zwart,60000000,PG-13,130,Aidan Turner,Kevin Zegers,CCH Pounder,31165421,Fantasy|Horror|Mystery|Romance,battle|demon|magic|secret|warrior,6
The Mothman Prophecies ,Mark Pellington,32000000,PG-13,119,Debra Messing,Will Patton,David Eigenberg,35228696,Drama|Horror|Mystery|Thriller,car accident|death of wife|mothman|point pleasant west virginia|urban legend,6.5
The Mummy Returns ,Stephen Sommers,98000000,PG-13,130,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,202007640,Action|Adventure|Fantasy|Thriller,ancient egypt|bracelet|king|scorpion|son,6.3
The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,145000000,PG-13,112,Jet Li,Brendan Fraser,Russell Wong,102176165,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,5.2
The Muse ,Albert Brooks,15000000,PG-13,97,Jeff Bridges,Bradley Whitford,Albert Brooks,11614236,Comedy,directed by star|muse|satire|screenwriter|tiffany's,5.6
The Naked Gun 2½: The Smell of Fear ,David Zucker,23000000,PG-13,85,George Kennedy,Priscilla Presley,O.J. Simpson,86930411,Comedy|Crime,american president|evil industrialist|ex girlfriend|political leader|president,6.8
The Net ,Irwin Winkler,22000000,PG-13,114,Ken Howard,Jeremy Northam,Ray McKinnon,50728000,Action|Crime|Drama|Mystery|Thriller,chat room|computer|computer hacker|identity|identity theft,5.8
The New Guy ,Ed Decter,13000000,PG-13,92,Zooey Deschanel,Eddie Griffin,Gene Simmons,28972187,Comedy,cheerleader|geek|high school|prison|reference to janet jackson,5.9
The New World ,Terrence Malick,30000000,PG-13,150,Christian Bale,Michael Greyeyes,Wes Studi,12712093,Biography|Drama|History|Romance,captain|fort|love|native american|trade,6.7
The Newton Boys ,Richard Linklater,27000000,PG-13,123,Matthew McConaughey,Lew Temple,Dwight Yoakam,10297897,Action|Crime|Drama|History|Western,bank robber|brother brother relationship|crime spree|explosive|train,6
The Next Best Thing ,John Schlesinger,25000000,PG-13,99,Mark Valley,Rupert Everett,Illeana Douglas,14983572,Comedy|Drama|Romance,best friend|cartoon on tv|custody battle|gay|gay friend,4.7
The Next Three Days ,Paul Haggis,35000000,PG-13,133,Olivia Wilde,Daniel Stern,Aisha Hinds,21129348,Crime|Drama|Romance|Thriller,argument|evidence|fingerprints|murder|murder weapon,7.4
The Notebook ,Nick Cassavetes,29000000,PG-13,123,Ryan Gosling,Kevin Connolly,Gena Rowlands,64286,Drama|Romance,class differences|letter|nursing home|second chance|summer love,7.9
The Nutty Professor ,Tom Shadyac,54000000,PG-13,95,Jada Pinkett Smith,James Coburn,Dave Chappelle,128769345,Comedy|Romance|Sci-Fi,face slap|formula|overweight|professor|teacher,5.6
The Omega Code ,Robert Marcarelli,7500000,PG-13,100,George Coe,William Hootkins,Ayla Kell,12610552,Action|Adventure|Fantasy|Sci-Fi|Thriller,code|evil|false accusation|megalomaniac|torah,3.5
The One ,James Wong,49000000,PG-13,85,Jason Statham,Jet Li,Delroy Lindo,43905746,Action|Sci-Fi|Thriller,fight|multiverse|police|police officer|prison,5.9
The Open Road ,Michael Meredith,10000000,PG-13,91,Jeff Bridges,Justin Timberlake,Ted Danson,19348,Comedy|Drama,american south|baseball|farmland|motel|road trip,5.5
The Other Guys ,Adam McKay,100000000,PG-13,116,Dwayne Johnson,Will Ferrell,Derek Jeter,119219978,Action|Comedy|Crime,capitalist|detective|investigation|new york city|police,6.7
The Other Woman ,Nick Cassavetes,40000000,PG-13,109,Don Johnson,Kate Upton,David Thornton,83906114,Comedy|Romance,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,6
The Others ,Alejandro Amenábar,17000000,PG-13,101,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,96471845,Fantasy|Horror|Thriller,curtain|haunting|mansion|mute|xeroderma pigmentosum,7.6
The Out-of-Towners ,Sam Weisman,40000000,PG-13,90,Oliver Hudson,Valerie Perri,Carlease Burke,28535768,Comedy,job interview|manhattan new york city|new york city|remake|sausage,5.3
The Outsiders ,Francis Ford Coppola,10000000,PG-13,114,Tom Cruise,William Smith,Tom Waits,25600000,Crime|Drama,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,7.2
The Pelican Brief ,Alan J. Pakula,45000000,PG-13,141,Denzel Washington,Julia Roberts,Tony Goldwyn,100768056,Crime|Drama|Mystery|Thriller,college professor|fbi|president|professor|supreme court,6.5
The Perfect Storm ,Wolfgang Petersen,140000000,PG-13,130,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,182618434,Action|Adventure|Drama|Thriller,death|fish|fishing|sea|storm,6.4
The Perks of Being a Wallflower ,Stephen Chbosky,13000000,PG-13,102,Logan Lerman,Ezra Miller,Kate Walsh,17738570,Drama|Romance,coming of age|depression|gay|high school|mental illness,8
The Possession ,Ole Bornedal,14000000,PG-13,92,Kyra Sedgwick,Madison Davenport,Natasha Calis,49122319,Horror|Thriller,basketball coach|box|jewish|rabbi|yard sale,5.9
The Possession ,Ole Bornedal,14000000,PG-13,92,Kyra Sedgwick,Madison Davenport,Natasha Calis,49122319,Horror|Thriller,basketball coach|box|jewish|rabbi|yard sale,5.9
The Prestige ,Christopher Nolan,40000000,PG-13,130,Christian Bale,Hugh Jackman,Scarlett Johansson,53082743,Drama|Mystery|Sci-Fi|Thriller,illusion|magician|obsession|rivalry|secret,8.5
The Producers ,Susan Stroman,45000000,PG-13,134,Jon Lovitz,Will Ferrell,Matthew Broderick,19377727,Comedy|Musical,accountant|money|opening night|scheme|swedish,6.4
The Proposal ,Anne Fletcher,40000000,PG-13,108,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,163947053,Comedy|Drama|Romance,alaska|deportation|father son relationship|male objectification|sitka alaska,6.7
The Pursuit of Happyness ,Gabriele Muccino,55000000,PG-13,117,Will Smith,Kurt Fuller,James Karen,162586036,Biography|Drama,bus|intern|internship|salesman|stockbroker,8
The Rainmaker ,Francis Ford Coppola,40000000,PG-13,135,Matt Damon,Dean Stockwell,Virginia Madsen,45856732,Crime|Drama|Thriller,courtroom|domestic violence|insurance company|lawyer|underdog,7.1
The Replacements ,Howard Deutch,50000000,PG-13,118,Keanu Reeves,Jon Favreau,Faizon Love,44737059,Comedy|Sport,coach|football player|misfits|strike|sumo wrestler,6.5
The Rite ,Mikael Håfström,37000000,PG-13,114,Anthony Hopkins,Colin O'Donoghue,Toby Jones,33037754,Drama|Horror|Mystery|Thriller,demon|exorcism|exorcist|faith|seminary,6
The River Wild ,Curtis Hanson,45000000,PG-13,111,Meryl Streep,Glenn Morshower,William Lucking,46815748,Action|Adventure|Crime|Thriller,criminal|rafting|river|robber|white water rafting,6.3
The Rocker ,Peter Cattaneo,15000000,PG-13,102,Emma Stone,Bradley Cooper,Josh Gad,6409206,Comedy|Music,20 years later|drummer|hdtv|rock band|rock star,6.2
The Roommate ,Christian E. Christiansen,16000000,PG-13,91,Leighton Meester,Danneel Ackles,Frances Fisher,37300107,Drama|Horror|Thriller,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,4.8
The Rundown ,Peter Berg,85000000,PG-13,104,Dwayne Johnson,Rosario Dawson,Ewen Bremner,47592825,Action|Adventure|Comedy|Thriller,amazon|bounty hunter|fight|hunter|jungle,6.7
The Saint ,Phillip Noyce,68000000,PG-13,116,Alun Armstrong,Michael Byrne,Velibor Topic,61355436,Action|Adventure|Romance|Sci-Fi|Thriller,cold fusion|disguise|energy|fusion|the saint,6.2
The Salon ,Mark Brown,1500000,PG-13,90,Vivica A. Fox,Monica Calhoun,Garrett Morris,92362,Comedy|Drama,,4.3
The Scorch Trials ,Wes Ball,61000000,PG-13,132,Ki Hong Lee,Lili Taylor,Rosa Salazar,81687587,Action|Sci-Fi|Thriller,desert|disease|escape|resistance|virus,6.4
The Scorpion King ,Chuck Russell,60000000,PG-13,100,Dwayne Johnson,Roger Rees,Bernard Hill,90341670,Action|Adventure|Fantasy|Thriller,desert|king|showdown|sorceress|warrior,5.5
The Secret Life of Bees ,Gina Prince-Bythewood,11000000,PG-13,110,Nate Parker,Alicia Keys,Jennifer Hudson,37766350,Drama,beekeeping|insect in title|racism|sister|south carolina,7.3
The Sentinel ,Clark Johnson,60000000,PG-13,107,Blair Brown,David Rasche,Martin Donovan,36279230,Action|Crime|Thriller,first lady|framed|investigation|president|secret service,6.1
The Shadow ,Russell Mulcahy,25000000,PG-13,93,Jonathan Winters,Peter Boyle,John Kapelos,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,1930s|bomb|city|invisibility|the shadow,6
The Shallows ,Jaume Collet-Serra,17000000,PG-13,86,Óscar Jaenada,Brett Cullen,Sedona Legge,54257433,Drama|Horror|Thriller,beach|island|mexico|prey|trapped,6.8
The Simpsons Movie ,David Silverman,75000000,PG-13,87,Albert Brooks,Yeardley Smith,Marcia Wallace,183132370,Adventure|Animation|Comedy,alaska|dome|lake|pig|the simpsons,7.4
The Sixth Sense ,M. Night Shyamalan,40000000,PG-13,107,Bruce Willis,Haley Joel Osment,Olivia Williams,293501675,Drama|Mystery|Thriller,able to see the dead|ghost|plot twist|psychic|surprise ending,8.1
The Skeleton Key ,Iain Softley,43000000,PG-13,104,Gena Rowlands,Deneen Tyler,Joy Bryant,47806295,Horror|Mystery|Thriller,attic|bound and gagged|hoodoo|secret|southern gothic,6.5
The Skulls ,Rob Cohen,15000000,PG-13,106,Paul Walker,Leslie Bibb,William Petersen,35007180,Action|Crime|Drama|Thriller,college|friend|ivy league|secret society|suicide,5.6
The Social Network ,David Fincher,40000000,PG-13,120,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,96917897,Biography|Drama,competitiveness|creator|entrepreneur|facebook|intellectual property,7.7
The Spirit ,Frank Miller,60000000,PG-13,103,Scarlett Johansson,Jaime King,Louis Lombardi,19781879,Action|Crime|Fantasy|Thriller,female star appears nude|pants falling down|samurai|white rat|woman in a towel,4.8
The Stepford Wives ,Frank Oz,90000000,PG-13,93,Jon Lovitz,Matthew Broderick,Roger Bart,59475623,Comedy|Sci-Fi|Thriller,community|connecticut|fem bot|tv producer|writer,5.2
The Sum of All Fears ,Phil Alden Robinson,68000000,PG-13,124,Morgan Freeman,Bruce McGill,Philip Baker Hall,118471320,Action|Drama|Thriller,analyst|cia|nuclear bomb|nuclear weapons|russia,6.4
The Switch ,Josh Gordon,19000000,PG-13,101,Caroline Dhavernas,Scott Elrod,Kelli Barrett,27758465,Comedy|Drama|Romance,artificial insemination|best friend|new york city|sperm|sperm donor,6.1
The Tempest ,Julie Taymor,20000000,PG-13,110,Djimon Hounsou,Reeve Carney,Tom Conti,263365,Comedy|Drama|Fantasy|Romance,banishment|sorcery|spirit|staff|storm at sea,5.4
The Terminal ,Steven Spielberg,60000000,PG-13,128,Tom Hanks,Chi McBride,Barry Shabaka Henley,77032279,Comedy|Drama,airport|construction site|fish out of water|flight attendant|man without a country,7.3
The Time Machine ,Simon Wells,80000000,PG-13,96,Mark Addy,Alan Young,Josh Stamberg,56684819,Action|Adventure|Sci-Fi,hunter|scientist|time machine|time travel|time travel romance,5.9
The Time Traveler's Wife ,Robert Schwentke,39000000,PG-13,107,Arliss Howard,Brooklynn Proulx,Michelle Nolden,63411478,Drama|Fantasy|Romance|Sci-Fi,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,7.1
The Tourist ,Florian Henckel von Donnersmarck,100000000,PG-13,103,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,67631157,Action|Romance|Thriller,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,6
The Tree of Life ,Terrence Malick,32000000,PG-13,139,Brad Pitt,Tye Sheridan,Fiona Shaw,13303319,Drama|Fantasy,1950s|children|ice cube|texas|waco texas,6.7
The Trials of Darryl Hunt ,Ricki Stern,200000,PG-13,106,Darryl Hunt,Evelyn Jefferson,John Reeves,1111,Crime|Documentary,false accusation|murder|north carolina|trial|wrongful conviction,7.7
The Tuxedo ,Kevin Donovan,60000000,PG-13,98,Romany Malco,Debi Mazar,Ritchie Coster,50189179,Action|Comedy|Sci-Fi,chauffeur|hospital|secret agent|spying|tuxedo,5.3
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,120000000,PG-13,115,Robert Pattinson,Kristen Stewart,Taylor Lautner,292298923,Adventure|Drama|Fantasy|Romance,battle|friend|super strength|vampire|vision,5.5
The Twilight Saga: Eclipse ,David Slade,68000000,PG-13,124,Robert Pattinson,Kristen Stewart,Anna Kendrick,300523113,Adventure|Drama|Fantasy|Romance,friendship|graduation|revenge|vampire|werewolf,4.9
The Twilight Saga: New Moon ,Chris Weitz,50000000,PG-13,130,Robert Pattinson,Kristen Stewart,Taylor Lautner,296623634,Adventure|Drama|Fantasy|Romance,forks washington|protecting a woman|title same as book|vampire|werewolf,4.6
The Unborn ,David S. Goyer,16000000,PG-13,89,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,42638165,Drama|Fantasy|Horror|Mystery|Thriller,babysitting|experiment|nightmare|possession|twin,4.8
The Vatican Tapes ,Mark Neveldine,8495000,PG-13,91,Djimon Hounsou,Alison Lohman,Dougray Scott,1712111,Horror|Thriller,evil|injury|possession|priest|vatican,4.5
The Village ,M. Night Shyamalan,60000000,PG-13,108,Bryce Dallas Howard,Judy Greer,William Hurt,114195633,Drama|Mystery|Romance|Thriller,creature|pact|plot twist|village|woods,6.5
The Visit ,M. Night Shyamalan,5000000,PG-13,94,Ocean James,Patch Darragh,Olivia DeJonge,65069140,Horror|Thriller,farm|handheld camera|impostor|rap|rock paper scissors,6.2
The Vow ,Michael Sucsy,30000000,PG-13,104,Channing Tatum,Lucas Bryant,Dillon Casey,125014030,Drama|Romance,car accident|life support|memory loss|trauma|voice recording,6.8
The Waterboy ,Frank Coraci,20000000,PG-13,90,Adam Sandler,Clint Howard,Peter Dante,161487252,Comedy|Sport,coach|college|college football|domineering mother|football,6.1
The Way Way Back ,Nat Faxon,5000000,PG-13,103,Steve Carell,Liam James,Jim Rash,21501098,Comedy|Drama,awkward boy|shy kid|summer|vacation|water park,7.4
